SKU,File Name,Scope,Printer,Color,File Weight,FileTime,Print Qty,Print Weight,Total Print Hours
BG-003-1,CR10sPROMSv3-BB-MP-Burgle Bag Set v4-x1.gcode,Base,CR10sPro,Black,82,4.65,1,82,4.66
BG-003-1,CR10sPROMSv3-BB-MP-Cops and Robbers 2020 Set v8-x1.gcode,Base,CR10sPro,Black,50,3.383333333,1,50,3.4
BG-003-1,CR10sPROMSv3-Cops and Robbers 2020 Base v8-x1.gcode,Supplementary,CR10sPro,Black,30,1.95,1,30,1.95
BG-003-1,CR10sPROMSv3-Cops and Robbers 2020 Lid v8-x1.gcode,Supplementary,CR10sPro,Black,20,1.433333333,1,20,1.44
BG-014-1-BLU-PMG,CR10sPROMSv3-CSE-ScoreTrack-Pads-V2c-x1.gcode,Base,CR10sPRO,White,52,3.716666667,1,52,3.72
BG-014-1-BLU-PMG,CR10sPROMSv4-CSB-Base-6P-3cut-v1-x1.gcode,Base,CR10sPRO,Blue,114,6.95,1,114,6.96
BG-014-1-BLU-PMG,CR10sPROMSv4-CSB-Lid-v2-x1.gcode,Base,CR10sPRO,Blue,98,5.933333333,1,98,5.94
BG-014-1-BLU-PMG,CR10sPROMSv4-CSB-PlayerTray-v3-x1.gcode,Base,CR10sPRO,Grey,15,1,1,15,1.01
BG-014-1-BLU-PMG,CR10sPROMSv4-CSB-PlayerTray-v3-x1.gcode,Base,CR10sPRO,Red,15,1,1,15,1.01
BG-014-1-BLU-PMG,CR10sPROMSv4-CSB-PlayerTray-v3-x1.gcode,Base,CR10sPRO,Black,15,1,1,15,1.01
BG-014-1-BLU-PMG,CR10sPROMSv4-CSB-PlayerTray-v3-x1.gcode,Base,CR10sPRO,Blue,15,1,1,15,1.01
BG-014-1-BLU-PMG,CR10sPROMSv4-CSB-PlayerTray-v3-x1.gcode,Base,CR10sPRO,Yellow,15,1,1,15,1.01
BG-014-1-BLU-PMG,CR10sPROMSv4-CSB-PlayerTray-v3-x1.gcode,Base,CR10sPRO,Green,15,1,1,15,1.01
BG-014-1-BLU-PMG,CR10sPROMSv4-CSE-ScoreTrack-Frame-x1-cc20.gcode,Base,CR10sPRO,Grey/Blue,24,2.016666667,1,24,2.03
BG-014-1-BLU-PMG,CR10sPROMSv4-CSE-MP-Score-100-050-short-v4-shortlayer-x5.gcode,Supplementary,CR10sPRO,White/Black,10,1.55,1,10,1.56
BG-014-1-BLU-PMG,CR10sPROMSv4-CSE-MP-Score-100-050-short-v4-shortlayer-x5.gcode,Supplementary,CR10sPRO,White/Blue,10,1.55,1,10,1.56
BG-014-1-BLU-PMG,CR10sPROMSv4-CSE-MP-Score-100-050-short-v4-shortlayer-x5.gcode,Supplementary,CR10sPRO,White/Green,10,1.55,1,10,1.56
